id;campus_id;nom;prenom;telephone;mail;mot_passe;actif;photo_profil;pseudo;roles
12;3;gator4;bla;606060597;blabla12@email.com;$argon2id$v=19$m=65536,t=4,p=1$SVBpa28uamcud2ZHSEZ1dQ$lt+tYFomqSsYEeqL6DhwHoo7aBpp48l3ePfNchKF6mE;1;150.png;blabla2;"[""ROLE_USER""]"
13;3,133333333;bla5;ali6;606060596;aligator7@email.fr;$argon2id$v=19$m=65536,t=4,p=1$akVERUdUZHpEb1JHWGQwbw$0FDTXiFBT9KUuiHbZ9aTEvgU6A4Oc3KqNY88nQ3z+7w;1;150.png;aligator;"[""ROLE_USER""]"
14;3,361904762;tar;bla;606060595;guitar5@email.com;$argon2id$v=19$m=65536,t=4,p=1$amptZUkyZUwwOFczRFhZMA$ZzLrksko9bUMStPrIRRnnvntoxoEv+ZkMyxMDivuxSY;1;150.png;guitar;"[""ROLE_USER""]"
15;3,59047619;gator5;ali7;606060594;aligator13@email.fr;$argon2id$v=19$m=65536,t=4,p=1$ZXZmcUlPcnpWc1hhSHNnZw$u3h3ISPgkI2c+ym7K9B6ylf+t9235npOUHFDvv4eOSk;1;150.png;aligator2;"[""ROLE_USER""]"
16;3,819047619;bla6;bla;606060593;blabla7@email.com;$argon2id$v=19$m=65536,t=4,p=1$SVBpa28uamcud2ZHSEZ1dQ$lt+tYFomqSsYEeqL6DhwHoo7aBpp48l3ePfNchKF6mE;1;150.png;blabla;"[""ROLE_USER""]"
17;4,047619048;tar;ali8;606060592;aligator8@email.fr;$argon2id$v=19$m=65536,t=4,p=1$akVERUdUZHpEb1JHWGQwbw$0FDTXiFBT9KUuiHbZ9aTEvgU6A4Oc3KqNY88nQ3z+7w;1;150.png;aligator3;"[""ROLE_USER""]"
18;4,276190476;gator6;bla;606060591;guitar2@email.com;$argon2id$v=19$m=65536,t=4,p=1$amptZUkyZUwwOFczRFhZMA$ZzLrksko9bUMStPrIRRnnvntoxoEv+ZkMyxMDivuxSY;1;150.png;guitar2;"[""ROLE_USER""]"
19;4,504761905;bla7;ali9;606060590;aligator15@email.fr;$argon2id$v=19$m=65536,t=4,p=1$ZXZmcUlPcnpWc1hhSHNnZw$u3h3ISPgkI2c+ym7K9B6ylf+t9235npOUHFDvv4eOSk;1;150.png;aligator4;"[""ROLE_USER""]"
20;4,733333333;tar;bla;606060589;blabla5@email.com;$argon2id$v=19$m=65536,t=4,p=1$SVBpa28uamcud2ZHSEZ1dQ$lt+tYFomqSsYEeqL6DhwHoo7aBpp48l3ePfNchKF6mE;1;150.png;blabla2;"[""ROLE_USER""]"
21;4,961904762;gator7;ali10;606060588;aligator6@email.fr;$argon2id$v=19$m=65536,t=4,p=1$akVERUdUZHpEb1JHWGQwbw$0FDTXiFBT9KUuiHbZ9aTEvgU6A4Oc3KqNY88nQ3z+7w;1;150.png;aligator5;"[""ROLE_USER""]"
22;5,19047619;bla8;bla;606060587;guitar6@email.com;$argon2id$v=19$m=65536,t=4,p=1$amptZUkyZUwwOFczRFhZMA$ZzLrksko9bUMStPrIRRnnvntoxoEv+ZkMyxMDivuxSY;1;150.png;guitar3;"[""ROLE_USER""]"
23;5,419047619;tar;ali11;606060586;aligator18@email.fr;$argon2id$v=19$m=65536,t=4,p=1$ZXZmcUlPcnpWc1hhSHNnZw$u3h3ISPgkI2c+ym7K9B6ylf+t9235npOUHFDvv4eOSk;1;150.png;aligator6;"[""ROLE_USER""]"
24;5,647619048;tar;bla;606060586;blabla25@email.com;$argon2id$v=19$m=65536,t=4,p=1$SVBpa28uamcud2ZHSEZ1dQ$lt+tYFomqSsYEeqL6DhwHoo7aBpp48l3ePfNchKF6mE;1;150.png;blabla3;"[""ROLE_USER""]"
